,Round,Agent,Opponent,State,Player 1 Action,Player 2 Action,Player 1 Reward,Player 2 Reward,Player 1 Score,Player 2 Score,Collision Point
351,198,4,13,4,1,1,1,1,205,35,"[418.85055287674027, 375.9613862306511]"
352,198,0,10,1,0,0,3,3,444,453,"[20.0, 20.0]"
353,199,4,13,4,1,1,1,1,206,36,"[417.99578377043133, 374.507108817243]"
354,199,0,10,1,0,0,3,3,447,456,"[20.0, 20.0]"
355,200,4,13,4,1,1,1,1,207,37,"[417.2264915747533, 373.19825914517577]"
356,200,0,10,1,0,0,3,3,450,459,"[20.0, 20.0]"
357,201,4,13,4,1,1,1,1,208,38,"[416.53412859864306, 372.02029444031524]"
358,201,0,10,1,0,0,3,3,453,462,"[20.0, 20.0]"
359,202,2,12,1,0,0,3,3,36,12,"[134.23732440719718, 479.81404988080124]"
360,202,4,13,4,1,1,1,1,209,39,"[415.9110019201438, 370.96012620594075]"
361,202,5,6,1,0,0,3,3,24,45,"[201.13618517623547, 326.98764147700035]"
362,202,0,10,1,0,0,3,3,456,465,"[20.0, 20.0]"
363,203,4,13,4,1,1,1,1,210,40,"[415.3501879094945, 370.00597479500374]"
364,203,0,10,1,0,0,3,3,459,468,"[20.0, 20.0]"
365,204,4,13,4,1,1,1,1,211,41,"[414.8454552999101, 369.14723852516045]"
366,204,0,10,1,0,0,3,3,462,471,"[20.0, 20.0]"
367,205,4,13,4,1,1,1,1,212,42,"[414.3911959512841, 368.3743758823015]"
368,205,0,10,1,0,0,3,3,465,474,"[20.0, 20.0]"
369,206,4,13,4,1,1,1,1,213,43,"[413.9823625375207, 367.67879950372844]"
370,206,0,10,1,0,0,3,3,468,477,"[20.0, 20.0]"
371,207,4,13,4,1,1,1,1,214,44,"[413.6144124651337, 367.0527807630127]"
372,207,0,10,1,0,0,3,3,471,480,"[20.0, 20.0]"
373,208,4,13,4,1,1,1,1,215,45,"[413.2832573999853, 366.48936389636856]"
374,208,0,10,1,0,0,3,3,474,483,"[20.0, 20.0]"
375,209,4,13,4,1,1,1,1,216,46,"[412.98521784135175, 365.9822887163889]"
376,209,0,10,1,0,0,3,3,477,486,"[20.0, 20.0]"
